Gene	Bias	TCPOBOP_FPKM	TCPOBOP_FC	TCPOBOP_Compartment
ncRNA_as_chr1_369	Down	2.21	-3.89	CB - Female
ncRNA_as_chr1_391	Down	6.86	-2.66	CB - Female
ncRNA_as_chr1_421	Down	0.46	-3.32	Cyto - Female
ncRNA_as_chr1_539	Down	26.16	-3.30	CBnPAs - Male
ncRNA_as_chr1_540	Down	0.07	-8.11	Nuc - Female
ncRNA_as_chr1_978	Down	2.13	-3.24	CB - Female
ncRNA_as_chr10_8847	Down	13.98	-2.96	CB - Female
ncRNA_as_chr10_9007	Down	3.34	-2.58	CBnPAs - Male
ncRNA_as_chr10_9176	Down	1.08	-2.76	CB - Female
ncRNA_as_chr10_9295	Down	0.75	-2.89	NP - Male
ncRNA_as_chr10_9385	Down	6.13	-3.35	CBnPAs - Male
ncRNA_as_chr10_9389	Down	2.41	-2.36	Nuc - Female
ncRNA_as_chr11_9447	Down	0.14	-8.39	CB - Female
ncRNA_as_chr11_9812	Down	10.26	-2.06	CB - Female
ncRNA_as_chr11_9990	Down	57.90	-2.30	CB - Female
ncRNA_as_chr13_11029	Down	0.09	-4.92	CBnPAs - Female
ncRNA_as_chr14_12111	Down	2.16	-3.92	CBnPAs - Male
ncRNA_as_chr14_12166	Down	5.39	-2.22	NP - Male
ncRNA_as_chr14_12219	Down	10.82	-1.89	CB - Female
ncRNA_as_chr15_12466	Down	4.85	-2.64	CB - Male
ncRNA_as_chr15_12677	Down	22.83	-3.09	CB - Male
ncRNA_as_chr15_12679	Down	1.16	-4.05	CBnPAs - Male
ncRNA_as_chr15_12680	Down	1.17	-10.75	CB - Male
ncRNA_as_chr15_12705	Down	4.97	-2.47	CB - Female
ncRNA_as_chr15_12817	Down	93.79	-1.93	CBnPAs - Male
ncRNA_as_chr15_12818	Down	48.94	-1.91	CBnPAs - Male
ncRNA_as_chr15_12920	Down	23.59	-5.31	CB - Male
ncRNA_as_chr15_12957	Down	0.83	-5.58	CB - Female
ncRNA_as_chr16_13178	Down	16.30	-1.99	Nuc - Female
ncRNA_as_chr17_13744	Down	17.12	-2.21	CB - Female
ncRNA_as_chr17_13862	Down	0.88	-2.79	Cyto - Male
ncRNA_as_chr17_13954	Down	4.75	-3.03	CB - Female
ncRNA_as_chr17_14069	Down	0.96	-1.92	Nuc - Female
ncRNA_as_chr18_14302	Down	7.02	-2.20	CB - Female
ncRNA_as_chr18_14408	Down	11.63	-2.21	CB - Female
ncRNA_as_chr18_14456	Down	0.98	-3.40	CB - Male
ncRNA_as_chr18_14458	Down	0.37	-5.37	CBnPAs - Male
ncRNA_as_chr18_14459	Down	3.17	-2.87	CB - Female
ncRNA_as_chr18_14461	Down	6.56	-2.74	CB - Female
ncRNA_as_chr19_14782	Down	1.01	-3.30	CB - Female
ncRNA_as_chr19_14976	Down	1.35	-45.51	CB - Female
ncRNA_as_chr19_15010	Down	0.37	-12.28	CB - Female
ncRNA_as_chr19_15130	Down	16.58	-4.72	CB - Male
ncRNA_as_chr2_1305	Down	0.44	-2.95	NP - Male
ncRNA_as_chr2_1343	Down	0.47	-5.12	CBnPAs - Male
ncRNA_as_chr2_1543	Down	26.29	-2.18	NP - Male
ncRNA_as_chr2_1550	Down	20.81	-2.41	Nuc - Female
ncRNA_as_chr2_1983	Down	4.16	-3.92	CB - Female
ncRNA_as_chr3_2192	Down	1.70	-2.07	Nuc - Female
ncRNA_as_chr3_2554	Down	2.22	-2.37	CB - Female
ncRNA_as_chr3_2778	Down	5.52	-3.09	CB - Male
ncRNA_as_chr3_2878	Down	1.29	-3.37	Nuc - Female
ncRNA_as_chr4_3224	Down	0.12	-4.10	Cyto - Female
ncRNA_as_chr4_3292	Down	0.38	-6.90	CBnPAs - Male
ncRNA_as_chr4_3298	Down	660.91	-2.08	NP - Male
ncRNA_as_chr4_3804	Down	0.25	-17.49	CBnPAs - Female
ncRNA_as_chr4_3932	Down	1.15	-2.07	Nuc - Female
ncRNA_as_chr5_4002	Down	0.10	-7.77	CB - Female
ncRNA_as_chr5_4519	Down	0.16	-34.22	Nuc - Female
ncRNA_as_chr5_4690	Down	4.75	-10.51	CB - Female
ncRNA_as_chr5_4694	Down	3.07	-4.05	CBnPAs - Female
ncRNA_as_chr5_4731	Down	8.60	-133.71	CB - Female
ncRNA_as_chr5_4733	Down	2.73	-84.87	CB - Female
ncRNA_as_chr5_4745	Down	17.26	-7.67	CBnPAs - Female
ncRNA_as_chr6_5038	Down	0.44	-9.65	CB - Female
ncRNA_as_chr6_5261	Down	15.24	-2.59	CBnPAs - Female
ncRNA_as_chr6_5268	Down	1.01	-2.50	CB - Male
ncRNA_as_chr6_5586	Down	28.21	-1.95	CB - Male
ncRNA_as_chr6_5587	Down	0.17	-4.77	NP - Male
ncRNA_as_chr7_5911	Down	174.60	-2.56	CB - Female
ncRNA_as_chr7_5912	Down	1.11	-2.14	CB - Male
ncRNA_as_chr7_5921	Down	1.56	-3.74	CB - Male
ncRNA_as_chr7_5966	Down	0.53	-11.62	CBnPAs - Male
ncRNA_as_chr7_6064	Down	5.64	-2.17	CBnPAs - Male
ncRNA_as_chr7_6065	Down	78.34	-4.14	CB - Male
ncRNA_as_chr7_6440	Down	12.06	-2.46	CB - Male
ncRNA_as_chr8_7333	Down	1.33	-7.44	Cyto - Male
ncRNA_as_chr8_7367	Down	0.46	-4.02	CB - Male
ncRNA_as_chr8_7369	Down	0.24	-3.48	NP - Male
ncRNA_as_chr8_7410	Down	3.36	-2.14	Nuc - Female
ncRNA_as_chr8_7521	Down	28.15	-2.09	CB - Female
ncRNA_as_chr9_7767	Down	6.91	-3.84	CBnPAs - Male
ncRNA_as_chr9_7843	Down	0.26	-7.05	CB - Female
ncRNA_as_chr9_7949	Down	1.41	-2.97	CB - Female
ncRNA_as_chr9_8053	Down	26.39	-2.11	CB - Male
ncRNA_as_chr9_8419	Down	0.60	-7.74	CB - Female
ncRNA_as_chr9_8428	Down	3.93	-2.29	Nuc - Female
ncRNA_as_chrX_15212	Down	3.25	-2.61	CB - Female
ncRNA_as_chrX_15213	Down	0.05	-3.35	CBnPAs - Male
ncRNA_inter_chr1_1001	Down	0.98	-16.95	CBnPAs - Male
ncRNA_inter_chr1_1019	Down	32.41	-3.02	CB - Female
ncRNA_inter_chr1_1035	Down	4.87	-2.89	CB - Male
ncRNA_inter_chr1_113	Down	0.03	-13.76	Nuc - Female
ncRNA_inter_chr1_147	Down	0.54	-9.74	CB - Male
ncRNA_inter_chr1_148	Down	10.04	-2.46	CB - Male
ncRNA_inter_chr1_160	Down	0.61	-8.08	NP - Female
ncRNA_inter_chr1_290	Down	3.32	-4.06	CB - Female
ncRNA_inter_chr1_292	Down	88.55	-3.86	CB - Female
ncRNA_inter_chr1_31	Down	0.60	-4.25	CB - Male
ncRNA_inter_chr1_352	Down	0.21	-5.14	CBnPAs - Male
ncRNA_inter_chr1_365	Down	3.53	-4.73	CBnPAs - Male
ncRNA_inter_chr1_47	Down	1.17	-12.39	CB - Female
ncRNA_inter_chr1_48	Down	0.62	-8.69	CB - Female
ncRNA_inter_chr1_49	Down	0.19	-8.96	CBnPAs - Female
ncRNA_inter_chr1_51	Down	13.59	-14.22	CB - Female
ncRNA_inter_chr1_52	Down	0.70	-5.55	CBnPAs - Female
ncRNA_inter_chr1_53	Down	2.05	-14.44	CB - Female
ncRNA_inter_chr1_530	Down	0.81	-3.08	CB - Female
ncRNA_inter_chr1_54	Down	1.04	-8.04	CBnPAs - Female
ncRNA_inter_chr1_546	Down	4.48	-2.22	CBnPAs - Male
ncRNA_inter_chr1_547	Down	4.06	-5.66	CB - Female
ncRNA_inter_chr1_549	Down	0.86	-5.75	CBnPAs - Female
ncRNA_inter_chr1_55	Down	4.07	-12.51	CB - Female
ncRNA_inter_chr1_556	Down	9.64	-2.20	CBnPAs - Male
ncRNA_inter_chr1_557	Down	61.23	-3.35	CB - Male
ncRNA_inter_chr1_56	Down	1.12	-8.89	CB - Female
ncRNA_inter_chr1_58	Down	0.63	-19.23	CB - Female
ncRNA_inter_chr1_61	Down	2.20	-5.48	CBnPAs - Female
ncRNA_inter_chr1_62	Down	2.26	-7.35	CB - Female
ncRNA_inter_chr1_623	Down	14.62	-2.03	Nuc - Female
ncRNA_inter_chr1_63	Down	2.68	-7.09	CB - Female
ncRNA_inter_chr1_636	Down	11.14	-8.00	CBnPAs - Male
ncRNA_inter_chr1_64	Down	0.98	-27.58	CB - Female
ncRNA_inter_chr1_66	Down	1.17	-10.36	CB - Female
ncRNA_inter_chr1_68	Down	0.26	-5.71	CBnPAs - Female
ncRNA_inter_chr1_692	Down	1.79	-5.33	NP - Male
ncRNA_inter_chr1_72	Down	0.52	-8.23	CBnPAs - Female
ncRNA_inter_chr1_73	Down	4.74	-8.13	CB - Female
ncRNA_inter_chr1_74	Down	1.51	-3.44	CBnPAs - Female
ncRNA_inter_chr1_755	Down	3.86	-16.05	CB - Female
ncRNA_inter_chr1_838	Down	12.34	-1.99	CBnPAs - Male
ncRNA_inter_chr1_853	Down	1.03	-5.68	Nuc - Female
ncRNA_inter_chr1_915	Down	1.64	-3.68	NP - Male
ncRNA_inter_chr1_928	Down	9.63	-2.64	CB - Male
ncRNA_inter_chr1_949	Down	10.45	-2.90	NP - Male
ncRNA_inter_chr1_977	Down	0.99	-7.54	CBnPAs - Male
ncRNA_inter_chr1_985	Down	3.12	-2.76	CBnPAs - Female
ncRNA_inter_chr1_987	Down	36.89	-3.26	CB - Female
ncRNA_inter_chr10_8466	Down	2.05	-4.96	CB - Male
ncRNA_inter_chr10_8474	Down	24.96	-2.73	CB - Female
ncRNA_inter_chr10_8477	Down	4.10	-4.28	CB - Female
ncRNA_inter_chr10_8775	Down	2.09	-2.30	CB - Female
ncRNA_inter_chr10_8776	Down	2.20	-4.66	Nuc - Female
ncRNA_inter_chr10_8794	Down	83.10	-2.69	CB - Female
ncRNA_inter_chr10_8796	Down	2.25	-3.62	CB - Female
ncRNA_inter_chr10_8859	Down	0.42	-45.70	CBnPAs - Male
ncRNA_inter_chr10_8863	Down	23.05	-2.00	CB - Female
ncRNA_inter_chr10_8950	Down	0.93	-5.35	Nuc - Female
ncRNA_inter_chr10_8994	Down	0.09	-12.84	CBnPAs - Male
ncRNA_inter_chr10_9137	Down	1.71	-2.12	CB - Female
ncRNA_inter_chr10_9159	Down	17.87	-2.27	CB - Female
ncRNA_inter_chr10_9178	Down	5.18	-3.77	CB - Female
ncRNA_inter_chr10_9179	Down	0.17	-36.45	CB - Female
ncRNA_inter_chr10_9181	Down	20.79	-6.52	CB - Female
ncRNA_inter_chr10_9195	Down	4.16	-3.41	Cyto - Female
ncRNA_inter_chr10_9196	Down	9.14	-2.68	CB - Female
ncRNA_inter_chr10_9198	Down	48.32	-2.00	CB - Male
ncRNA_inter_chr10_9199	Down	1.92	-14.52	CB - Male
ncRNA_inter_chr10_9202	Down	58.88	-2.19	CB - Female
ncRNA_inter_chr10_9207	Down	0.07	-3.24	Nuc - Female
ncRNA_inter_chr10_9209	Down	0.06	-13.39	NP - Female
ncRNA_inter_chr10_9211	Down	2.90	-5.81	CB - Female
ncRNA_inter_chr10_9263	Down	10.26	-4.40	CB - Female
ncRNA_inter_chr10_9264	Down	36.14	-4.77	CB - Female
ncRNA_inter_chr10_9281	Down	1.16	-3.20	CB - Female
ncRNA_inter_chr10_9361	Down	31.46	-4.12	CB - Female
ncRNA_inter_chr10_9362	Down	15.78	-2.71	CBnPAs - Female
ncRNA_inter_chr10_9364	Down	2.01	-5.25	CBnPAs - Male
ncRNA_inter_chr10_9366	Down	1.70	-6.42	CB - Female
ncRNA_inter_chr10_9414	Down	0.90	-18.27	CB - Female
ncRNA_inter_chr10_9418	Down	3.10	-3.18	Nuc - Female
ncRNA_inter_chr11_10014	Down	0.75	-13.01	Nuc - Female
ncRNA_inter_chr11_10069	Down	0.99	-4.01	CB - Female
ncRNA_inter_chr11_10078	Down	4.38	-4.61	CBnPAs - Female
ncRNA_inter_chr11_10130	Down	2.18	-3.10	CB - Female
ncRNA_inter_chr11_10202	Down	2.25	-3.04	CBnPAs - Female
ncRNA_inter_chr11_10212	Down	8.69	-1.99	CB - Male
ncRNA_inter_chr11_10218	Down	121.54	-2.26	CB - Male
ncRNA_inter_chr11_9438	Down	0.49	-8.54	CBnPAs - Male
ncRNA_inter_chr11_9497	Down	0.57	-8.06	CB - Female
ncRNA_inter_chr11_9503	Down	2.99	-10.66	CB - Female
ncRNA_inter_chr11_9506	Down	2.41	-6.52	CB - Female
ncRNA_inter_chr11_9511	Down	1.10	-2.99	Nuc - Female
ncRNA_inter_chr11_9538	Down	20.51	-2.12	Nuc - Female
ncRNA_inter_chr11_9539	Down	14.11	-2.03	Nuc - Female
ncRNA_inter_chr11_9550	Down	1.23	-21.31	CBnPAs - Male
ncRNA_inter_chr11_9650	Down	1.52	-9.29	Nuc - Female
ncRNA_inter_chr11_9694	Down	1.28	-5.79	CB - Male
ncRNA_inter_chr11_9873	Down	9.17	-2.20	CB - Female
ncRNA_inter_chr11_9888	Down	0.57	-2.04	CB - Female
ncRNA_inter_chr11_9910	Down	0.87	-2.91	NP - Female
ncRNA_inter_chr11_9925	Down	45.37	-2.18	CB - Male
ncRNA_inter_chr11_9938	Down	7.00	-2.28	Nuc - Female
ncRNA_inter_chr11_9948	Down	1.30	-1.90	Nuc - Female
ncRNA_inter_chr11_9960	Down	0.16	-4.79	CBnPAs - Male
ncRNA_inter_chr11_9963	Down	24.18	-3.10	CB - Female
ncRNA_inter_chr11_9964	Down	13.08	-3.35	CB - Female
ncRNA_inter_chr11_9966	Down	142.47	-2.32	CB - Female
ncRNA_inter_chr11_9967	Down	93.00	-2.93	CB - Female
ncRNA_inter_chr11_9992	Down	0.56	-3.58	CBnPAs - Male
ncRNA_inter_chr12_10244	Down	0.98	-3.86	CB - Female
ncRNA_inter_chr12_10412	Down	6.40	-2.27	CB - Male
ncRNA_inter_chr12_10561	Down	10.43	-2.05	CB - Male
ncRNA_inter_chr12_10595	Down	2.44	-4.36	CB - Male
ncRNA_inter_chr12_10659	Down	13.51	-2.01	CB - Female
ncRNA_inter_chr12_10753	Down	5.36	-2.97	CB - Male
ncRNA_inter_chr12_10754	Down	0.25	-12.43	Cyto - Female
ncRNA_inter_chr12_10758	Down	0.19	-37.61	CBnPAs - Male
ncRNA_inter_chr12_10816	Down	3.17	-4.84	 Nuc - Male
ncRNA_inter_chr12_10910	Down	6.27	-3.04	CBnPAs - Male
ncRNA_inter_chr12_10916	Down	0.76	-14.66	CBnPAs - Male
ncRNA_inter_chr12_10938	Down	0.78	-16.30	CBnPAs - Female
ncRNA_inter_chr12_10946	Down	0.52	-6.54	Cyto - Male
ncRNA_inter_chr13_11031	Down	47.97	-15.78	CB - Female
ncRNA_inter_chr13_11070	Down	2.17	-9.12	CB - Female
ncRNA_inter_chr13_11163	Down	4.37	-6.06	Nuc - Female
ncRNA_inter_chr13_11189	Down	1.99	-3.36	CB - Female
ncRNA_inter_chr13_11200	Down	0.32	-13.20	NP - Female
ncRNA_inter_chr13_11201	Down	0.88	-8.98	CBnPAs - Male
ncRNA_inter_chr13_11204	Down	0.28	-28.55	CBnPAs - Male
ncRNA_inter_chr13_11215	Down	0.62	-5.48	Cyto - Female
ncRNA_inter_chr13_11216	Down	0.73	-3.45	Cyto - Male
ncRNA_inter_chr13_11333	Down	1.08	-4.64	CB - Female
ncRNA_inter_chr13_11385	Down	4.40	-12.46	CB - Female
ncRNA_inter_chr13_11412	Down	0.97	-14.12	Nuc - Female
ncRNA_inter_chr13_11437	Down	3.97	-3.11	Nuc - Female
ncRNA_inter_chr13_11487	Down	11.88	-3.25	CB - Female
ncRNA_inter_chr13_11542	Down	1.91	-6.14	Cyto - Female
ncRNA_inter_chr13_11550	Down	10.85	-2.43	NP - Male
ncRNA_inter_chr13_11553	Down	0.60	-5.25	CB - Female
ncRNA_inter_chr13_11557	Down	7.23	-2.02	CB - Female
ncRNA_inter_chr13_11602	Down	1.12	-10.60	CB - Female
ncRNA_inter_chr13_11665	Down	1.09	-5.91	CBnPAs - Male
ncRNA_inter_chr13_11752	Down	28.23	-2.52	CBnPAs - Female
ncRNA_inter_chr13_11800	Down	1.76	-2.59	NP - Male
ncRNA_inter_chr14_11832	Down	1.04	-8.62	Nuc - Female
ncRNA_inter_chr14_11847	Down	2.88	-4.99	CB - Female
ncRNA_inter_chr14_11848	Down	3.24	-3.42	CB - Female
ncRNA_inter_chr14_11858	Down	15.97	-2.50	CB - Male
ncRNA_inter_chr14_11892	Down	8.57	-2.80	CB - Female
ncRNA_inter_chr14_11893	Down	4.73	-2.72	CBnPAs - Male
ncRNA_inter_chr14_11945	Down	6.40	-3.18	CB - Male
ncRNA_inter_chr14_12024	Down	0.20	-17.76	Cyto - Female
ncRNA_inter_chr14_12026	Down	3.01	-11.05	Nuc - Female
ncRNA_inter_chr14_12061	Down	0.75	-8.00	Nuc - Female
ncRNA_inter_chr14_12201	Down	6.54	-5.15	CB - Male
ncRNA_inter_chr14_12291	Down	6.02	-2.45	Nuc - Female
ncRNA_inter_chr15_12319	Down	4.54	-2.35	CBnPAs - Female
ncRNA_inter_chr15_12439	Down	15.18	-3.68	CB - Female
ncRNA_inter_chr15_12446	Down	0.91	-12.06	CB - Female
ncRNA_inter_chr15_12504	Down	1.11	-6.10	CBnPAs - Female
ncRNA_inter_chr15_12514	Down	1.69	-3.54	CBnPAs - Male
ncRNA_inter_chr15_12538	Down	1.03	-3.13	NP - Male
ncRNA_inter_chr15_12546	Down	0.11	-3.46	CBnPAs - Male
ncRNA_inter_chr15_12560	Down	36.37	-11.61	CB - Female
ncRNA_inter_chr15_12561	Down	4.41	-18.41	CB - Female
ncRNA_inter_chr15_12562	Down	14.39	-11.08	CB - Female
ncRNA_inter_chr15_12563	Down	9.74	-8.89	CB - Female
ncRNA_inter_chr15_12565	Down	0.47	-6.92	CBnPAs - Female
ncRNA_inter_chr15_12588	Down	0.88	-6.51	NP - Female
ncRNA_inter_chr15_12633	Down	3.53	-6.14	NP - Female
ncRNA_inter_chr15_12813	Down	10.62	-2.02	CB - Female
ncRNA_inter_chr15_12815	Down	0.73	-3.70	CB - Female
ncRNA_inter_chr15_12830	Down	0.80	-2.65	CBnPAs - Male
ncRNA_inter_chr15_12865	Down	11.06	-1.79	Nuc - Female
ncRNA_inter_chr15_12875	Down	5.73	-3.68	Cyto - Female
ncRNA_inter_chr15_12903	Down	32.09	-2.27	CBnPAs - Male
ncRNA_inter_chr15_12904	Down	7.53	-2.91	NP - Male
ncRNA_inter_chr15_12906	Down	2.00	-4.99	 Nuc - Male
ncRNA_inter_chr16_12992	Down	3.95	-2.76	CB - Female
ncRNA_inter_chr16_13049	Down	5.09	-5.05	CB - Female
ncRNA_inter_chr16_13050	Down	4.03	-3.76	Nuc - Female
ncRNA_inter_chr16_13168	Down	0.85	-13.32	CB - Female
ncRNA_inter_chr16_13170	Down	13.45	-4.15	CBnPAs - Female
ncRNA_inter_chr16_13173	Down	7.91	-3.80	CB - Female
ncRNA_inter_chr16_13176	Down	14.45	-2.17	CB - Female
ncRNA_inter_chr16_13177	Down	58.22	-1.69	 Nuc - Male
ncRNA_inter_chr16_13211	Down	2.49	-6.24	CB - Male
ncRNA_inter_chr16_13232	Down	1.73	-4.15	CBnPAs - Male
ncRNA_inter_chr16_13309	Down	14.40	-2.63	Nuc - Female
ncRNA_inter_chr16_13336	Down	0.45	-4.21	CB - Male
ncRNA_inter_chr16_13339	Down	1.29	-2.05	CB - Male
ncRNA_inter_chr16_13340	Down	9.35	-2.46	CB - Male
ncRNA_inter_chr16_13342	Down	15.12	-3.15	CB - Male
ncRNA_inter_chr16_13343	Down	184.23	-1.83	CBnPAs - Male
ncRNA_inter_chr16_13344	Down	9.71	-2.06	CBnPAs - Male
ncRNA_inter_chr16_13345	Down	16.85	-2.34	CB - Male
ncRNA_inter_chr16_13346	Down	49.80	-1.84	CBnPAs - Male
ncRNA_inter_chr16_13348	Down	1.90	-2.13	CBnPAs - Male
ncRNA_inter_chr16_13352	Down	6.09	-2.59	CB - Female
ncRNA_inter_chr16_13415	Down	2.76	-21.18	CB - Female
ncRNA_inter_chr16_13436	Down	1.94	-3.48	NP - Male
ncRNA_inter_chr16_13471	Down	3.55	-2.45	CB - Female
ncRNA_inter_chr17_13600	Down	11.15	-3.65	CB - Male
ncRNA_inter_chr17_13666	Down	8.28	-2.64	CB - Male
ncRNA_inter_chr17_13702	Down	4.26	-4.02	CB - Male
ncRNA_inter_chr17_13787	Down	0.31	-12.44	CBnPAs - Male
ncRNA_inter_chr17_13924	Down	0.25	-6.62	CBnPAs - Female
ncRNA_inter_chr17_13925	Down	0.26	-7.46	CB - Female
ncRNA_inter_chr17_13960	Down	1.15	-2.57	CBnPAs - Female
ncRNA_inter_chr17_13967	Down	0.43	-4.29	Nuc - Female
ncRNA_inter_chr17_13985	Down	3.18	-6.75	CB - Female
ncRNA_inter_chr17_13986	Down	48.84	-2.60	CB - Male
ncRNA_inter_chr17_13992	Down	1.87	-9.13	CB - Female
ncRNA_inter_chr17_14014	Down	13.37	-2.15	CBnPAs - Male
ncRNA_inter_chr17_14097	Down	1.41	-6.15	 Nuc - Male
ncRNA_inter_chr17_14146	Down	0.48	-22.46	Nuc - Female
ncRNA_inter_chr17_14162	Down	27.94	-2.16	Nuc - Female
ncRNA_inter_chr17_14188	Down	0.83	-5.11	Cyto - Female
ncRNA_inter_chr17_14206	Down	13.89	-3.21	CB - Female
ncRNA_inter_chr17_14207	Down	1.65	-5.49	NP - Female
ncRNA_inter_chr18_14293	Down	0.67	-3.71	CB - Male
ncRNA_inter_chr18_14294	Down	39.12	-2.26	CB - Female
ncRNA_inter_chr18_14323	Down	3.28	-4.82	CB - Female
ncRNA_inter_chr18_14325	Down	1.46	-2.95	CBnPAs - Female
ncRNA_inter_chr18_14327	Down	5.51	-2.04	CBnPAs - Male
ncRNA_inter_chr18_14328	Down	174.72	-2.77	CB - Male
ncRNA_inter_chr18_14330	Down	3.41	-3.29	CB - Male
ncRNA_inter_chr18_14341	Down	9.43	-2.43	CB - Male
ncRNA_inter_chr18_14543	Down	2.35	-2.02	CBnPAs - Male
ncRNA_inter_chr18_14546	Down	38.89	-2.06	CBnPAs - Male
ncRNA_inter_chr18_14548	Down	13.60	-1.89	CBnPAs - Male
ncRNA_inter_chr18_14549	Down	3.13	-1.99	CBnPAs - Female
ncRNA_inter_chr18_14551	Down	2.31	-2.98	CB - Male
ncRNA_inter_chr18_14589	Down	11.98	-2.59	CB - Male
ncRNA_inter_chr18_14604	Down	14.08	-2.25	Nuc - Female
ncRNA_inter_chr18_14605	Down	461.01	-2.30	Nuc - Female
ncRNA_inter_chr18_14635	Down	0.14	-53.07	NP - Female
ncRNA_inter_chr19_14873	Down	80.04	-4.18	CB - Male
ncRNA_inter_chr19_14876	Down	6.54	-2.88	CB - Female
ncRNA_inter_chr19_14956	Down	1.39	-4.02	Nuc - Female
ncRNA_inter_chr19_14965	Down	1.90	-4.15	Cyto - Female
ncRNA_inter_chr19_14978	Down	0.56	-8.33	CBnPAs - Female
ncRNA_inter_chr19_14979	Down	12.36	-3.73	CB - Female
ncRNA_inter_chr19_15080	Down	1.21	-2.94	Nuc - Female
ncRNA_inter_chr19_15087	Down	1.50	-2.26	CB - Male
ncRNA_inter_chr19_15132	Down	2.86	-4.24	CB - Male
ncRNA_inter_chr19_15136	Down	19.65	-2.52	CB - Female
ncRNA_inter_chr19_15137	Down	0.22	-19.11	Nuc - Female
ncRNA_inter_chr2_1217	Down	21.16	-3.32	CB - Female
ncRNA_inter_chr2_1219	Down	0.67	-12.35	CB - Male
ncRNA_inter_chr2_1300	Down	3.23	-3.07	CB - Female
ncRNA_inter_chr2_1302	Down	8.87	-1.93	CB - Female
ncRNA_inter_chr2_1344	Down	2.03	-19.23	CB - Male
ncRNA_inter_chr2_1421	Down	6.66	-4.40	Nuc - Female
ncRNA_inter_chr2_1422	Down	118.85	-2.73	CB - Female
ncRNA_inter_chr2_1424	Down	39.18	-2.41	CB - Female
ncRNA_inter_chr2_1425	Down	46.84	-3.18	CB - Female
ncRNA_inter_chr2_1426	Down	35.88	-2.36	CB - Female
ncRNA_inter_chr2_1471	Down	8.45	-4.93	CB - Female
ncRNA_inter_chr2_1477	Down	10.10	-16.55	CB - Male
ncRNA_inter_chr2_1479	Down	1.51	-3.55	 Nuc - Male
ncRNA_inter_chr2_1528	Down	1.12	-7.33	Cyto - Female
ncRNA_inter_chr2_1539	Down	2.11	-2.81	CB - Female
ncRNA_inter_chr2_1594	Down	15.74	-4.68	CB - Female
ncRNA_inter_chr2_1669	Down	26.27	-1.87	CB - Female
ncRNA_inter_chr2_1782	Down	53.31	-3.54	CB - Male
ncRNA_inter_chr2_1827	Down	11.64	-2.84	CBnPAs - Female
ncRNA_inter_chr2_1830	Down	183.89	-2.22	Nuc - Female
ncRNA_inter_chr2_1882	Down	1.68	-8.90	CB - Female
ncRNA_inter_chr2_1936	Down	31.05	-4.47	CB - Female
ncRNA_inter_chr2_1990	Down	1.06	-4.49	CBnPAs - Female
ncRNA_inter_chr2_1996	Down	0.38	-3.24	Nuc - Female
ncRNA_inter_chr2_2004	Down	1.77	-2.46	CB - Female
ncRNA_inter_chr2_2066	Down	9.14	-3.00	NP - Male
ncRNA_inter_chr2_2084	Down	0.87	-85.22	CBnPAs - Female
ncRNA_inter_chr2_2085	Down	1.57	-226.36	Nuc - Female
ncRNA_inter_chr2_2121	Down	0.51	-5.15	CB - Female
ncRNA_inter_chr3_2338	Down	26.02	-2.57	CB - Female
ncRNA_inter_chr3_2340	Down	11.14	-2.46	CB - Male
ncRNA_inter_chr3_2351	Down	0.88	-7.47	CB - Female
ncRNA_inter_chr3_2352	Down	0.17	-42.85	CBnPAs - Male
ncRNA_inter_chr3_2362	Down	7.38	-2.22	CBnPAs - Female
ncRNA_inter_chr3_2473	Down	1.14	-25.93	CB - Male
ncRNA_inter_chr3_2482	Down	1.35	-8.94	 Nuc - Male
ncRNA_inter_chr3_2519	Down	4.14	-3.33	CB - Female
ncRNA_inter_chr3_2550	Down	3.06	-3.88	CB - Female
ncRNA_inter_chr3_2556	Down	2.20	-2.39	Nuc - Female
ncRNA_inter_chr3_2640	Down	5.49	-3.33	CBnPAs - Male
ncRNA_inter_chr3_2663	Down	2.92	-2.23	CBnPAs - Male
ncRNA_inter_chr3_2716	Down	2.82	-2.93	Nuc - Female
ncRNA_inter_chr3_2747	Down	47.16	-2.40	CB - Female
ncRNA_inter_chr3_2749	Down	0.45	-58.36	Cyto - Female
ncRNA_inter_chr3_2790	Down	5.97	-2.06	Nuc - Female
ncRNA_inter_chr3_2897	Down	0.24	-13.04	Nuc - Female
ncRNA_inter_chr3_2898	Down	1.39	-2.67	CBnPAs - Male
ncRNA_inter_chr3_2904	Down	0.36	-3.30	NP - Male
ncRNA_inter_chr3_2915	Down	7.24	-3.53	Cyto - Female
ncRNA_inter_chr4_3008	Down	6.98	-3.68	CB - Male
ncRNA_inter_chr4_3011	Down	1.07	-3.45	CBnPAs - Male
ncRNA_inter_chr4_3043	Down	2.90	-6.67	CB - Male
ncRNA_inter_chr4_3115	Down	4.70	-4.34	NP - Male
ncRNA_inter_chr4_3119	Down	40.69	-2.35	CB - Female
ncRNA_inter_chr4_3138	Down	34.30	-1.98	CB - Female
ncRNA_inter_chr4_3140	Down	0.09	-48.50	Cyto - Female
ncRNA_inter_chr4_3143	Down	0.86	-3.45	CB - Female
ncRNA_inter_chr4_3156	Down	22.59	-5.53	CB - Female
ncRNA_inter_chr4_3157	Down	1.07	-3.15	CBnPAs - Female
ncRNA_inter_chr4_3158	Down	1.37	-10.15	CBnPAs - Female
