Gene	SB_Bias	SB_FPKM	SB_FC	SB_Compartment
FITM1	Male	23.46	3.96	CYTO
FOXO3	Male	1.72	5.32	CB
GAREM	Male	2.31	2.27	CB
GBE1	Male	5.68	1.90	CBNPAS
GLRX	Male	2.19	2.48	CBNPAS
GM11128	Male	0.67	12.61	CB
GM20199	Male	0.87	9.07	CB
GPR98	Male	0.82	8.58	NP
GSTA2	Male	11.06	5.12	CYTO
GSTM1	Male	145.28	2.13	CB
GSTP1	Male	1743.80	5.20	CYTO
GSTP2	Male	547.99	13.47	NUC
HSD3B2	Male	75.62	2.72	NP
HSD3B5	Male	96.59	4.70	CYTO
IHH	Male	1.93	4.33	NUC
IL1R1	Male	27.12	2.33	CBNPAS
IL1RAP	Male	6.16	2.62	CBNPAS
KDM5D	Male	2.65	268.94	CBNPAS
KEG1	Male	69.77	2.34	NUC
KLHL20	Male	1.77	1.96	CBNPAS
LAMA3	Male	1.69	2.98	CBNPAS
LARS2	Male	1198.06	7.80	CB
LEFTY1	Male	0.21	64.96	CYTO
LYST	Male	12.44	2.48	CB
MCM10	Male	61.48	2.46	NUC
MIR1948	Male	76.25	7.85	CBNPAS
MIR5125	Male	75.48	4.15	CB
MN1	Male	2.13	4.01	CB
MOB1A	Male	0.72	29.85	CB
MRGPRE	Male	1.44	4.69	CYTO
MUP1	Male	868.70	4.68	NP
MUP12	Male	92.26	15.03	NP
MUP14	Male	987.66	11.32	NUC
MUP15	Male	1550.40	14.27	NP
MUP16	Male	8.09	10.09	NUC
MUP19	Male	44.88	114.16	CB
MUP20	Male	1742.85	71.20	NP
MUP21	Male	499.19	6.89	NP
MUP3	Male	998.37	3.32	NP
MUP7	Male	885.29	14.73	NP
MUP8	Male	10.60	41.72	NUC
NAT8	Male	3.35	4.42	NUC
ncRNA_as_chr1_252	Male	18.60	2.32	NUC
ncRNA_as_chr10_8460	Male	0.55	4.86	CYTO
ncRNA_as_chr15_12817	Male	93.79	2.66	CBNPAS
ncRNA_as_chr15_12818	Male	48.94	2.32	CBNPAS
ncRNA_as_chr2_1965	Male	2.14	2.84	CB
ncRNA_as_chr4_3297	Male	3.39	3.62	NP
ncRNA_as_chr4_3300	Male	1.94	118.80	CB
ncRNA_as_chr4_3310	Male	0.39	85.29	CB
ncRNA_as_chrX_15440	Male	8.87	465.37	CB
ncRNA_inter_chr1_365	Male	3.53	5.91	CBNPAS
ncRNA_inter_chr1_371	Male	2.50	23.57	CB
ncRNA_inter_chr1_630	Male	2.86	19.59	CBNPAS
ncRNA_inter_chr1_931	Male	2.91	9.96	NUC
ncRNA_inter_chr10_8829	Male	2.28	4.00	NP
ncRNA_inter_chr10_9349	Male	4.67	6.63	CYTO
ncRNA_inter_chr10_9351	Male	7.15	8.07	NUC
ncRNA_inter_chr11_9925	Male	45.37	5.33	CB
ncRNA_inter_chr12_10512	Male	4.44	12.34	CB
ncRNA_inter_chr12_10514	Male	2.62	6.23	CB
ncRNA_inter_chr13_11023	Male	0.78	8.36	CB
ncRNA_inter_chr13_11222	Male	0.22	4.90	CB
ncRNA_inter_chr13_11227	Male	31.42	2.48	NUC
ncRNA_inter_chr13_11665	Male	4.63	5.82	CB
ncRNA_inter_chr13_11666	Male	0.51	51.03	CBNPAS
ncRNA_inter_chr13_11667	Male	1.98	15.66	CBNPAS
ncRNA_inter_chr13_11669	Male	9.28	5.80	CB
ncRNA_inter_chr13_11670	Male	2.25	10.18	NP
ncRNA_inter_chr14_11820	Male	0.51	42.77	CBNPAS
ncRNA_inter_chr14_11823	Male	4.24	180.46	CB
ncRNA_inter_chr14_11824	Male	1.48	16.95	CBNPAS
ncRNA_inter_chr14_11826	Male	6.90	22.03	CB
ncRNA_inter_chr14_11827	Male	38.52	3.49	CB
ncRNA_inter_chr14_12199	Male	4.49	3.84	CBNPAS
ncRNA_inter_chr14_12244	Male	11.39	3.17	CB
ncRNA_inter_chr14_12245	Male	2.50	8.41	CB
ncRNA_inter_chr14_12246	Male	4.28	10.52	CB
ncRNA_inter_chr14_12248	Male	37.94	5.61	CB
ncRNA_inter_chr15_12436	Male	1.48	5.51	CB
ncRNA_inter_chr15_12437	Male	0.06	6.10	CBNPAS
ncRNA_inter_chr15_12779	Male	26.75	6.16	CB
ncRNA_inter_chr15_12819	Male	1.62	5.85	CB
ncRNA_inter_chr16_13184	Male	0.13	40.10	CBNPAS
ncRNA_inter_chr16_13185	Male	0.24	6.62	CBNPAS
ncRNA_inter_chr16_13334	Male	2.55	6.14	CB
ncRNA_inter_chr16_13336	Male	0.45	6.10	CB
ncRNA_inter_chr16_13340	Male	9.35	3.17	CB
ncRNA_inter_chr16_13343	Male	51.06	4.87	CB
ncRNA_inter_chr16_13350	Male	27.22	5.73	CB
ncRNA_inter_chr16_13446	Male	3.95	5.09	CB
ncRNA_inter_chr17_13924	Male	2.48	10.28	CBNPAS
ncRNA_inter_chr17_13925	Male	3.28	11.57	CB
ncRNA_inter_chr17_13926	Male	1.81	16.09	CBNPAS
ncRNA_inter_chr17_13928	Male	1.61	21.40	CB
ncRNA_inter_chr17_13986	Male	35.86	2.38	CBNPAS
ncRNA_inter_chr17_14014	Male	6.74	7.04	CB
ncRNA_inter_chr18_14228	Male	7.86	4.24	CB
ncRNA_inter_chr18_14238	Male	0.63	13.59	CB
ncRNA_inter_chr18_14242	Male	7.57	7.54	CB
ncRNA_inter_chr18_14341	Male	8.73	2.82	CBNPAS
ncRNA_inter_chr19_14873	Male	80.04	15.95	CB
ncRNA_inter_chr19_15132	Male	1.51	10.14	NUC
ncRNA_inter_chr2_1232	Male	15.37	3.72	NUC
ncRNA_inter_chr2_1233	Male	11.73	3.16	NP
ncRNA_inter_chr2_1420	Male	2.03	7.74	CB
ncRNA_inter_chr3_2156	Male	2.61	5.54	CB
ncRNA_inter_chr3_2302	Male	2.48	19.76	CB
ncRNA_inter_chr3_2446	Male	1.63	22.21	CB
ncRNA_inter_chr3_2504	Male	18.13	3.64	CBNPAS
ncRNA_inter_chr3_2657	Male	0.84	13.79	CB
ncRNA_inter_chr3_2988	Male	26.62	45.48	CB
ncRNA_inter_chr4_3287	Male	2.48	12.18	CBNPAS
ncRNA_inter_chr4_3470	Male	0.88	22.78	CBNPAS
ncRNA_inter_chr4_3471	Male	1.49	112.98	CB
ncRNA_inter_chr5_4407	Male	0.15	45.22	CB
ncRNA_inter_chr5_4700	Male	2.26	18.76	CB
ncRNA_inter_chr5_4776	Male	1.36	9.13	CB
ncRNA_inter_chr6_5025	Male	0.09	8.13	CBNPAS
ncRNA_inter_chr6_5309	Male	0.41	4.37	CBNPAS
ncRNA_inter_chr6_5443	Male	4.21	7.43	CB
ncRNA_inter_chr6_5551	Male	2.47	3.75	NUC
ncRNA_inter_chr6_5864	Male	0.50	44.12	NP
ncRNA_inter_chr7_5922	Male	0.63	53.60	NP
ncRNA_inter_chr7_5927	Male	0.98	7.07	CB
ncRNA_inter_chr7_5981	Male	0.64	16.28	CBNPAS
ncRNA_inter_chr7_6082	Male	2.75	8.40	CBNPAS
ncRNA_inter_chr7_6094	Male	3.21	3.74	CBNPAS
ncRNA_inter_chr8_6981	Male	6.82	5.99	CBNPAS
ncRNA_inter_chr8_6982	Male	0.51	5.45	CBNPAS
ncRNA_inter_chr8_6983	Male	1.25	5.58	CBNPAS
ncRNA_inter_chr8_6984	Male	4.47	6.75	CBNPAS
ncRNA_inter_chr8_6985	Male	0.19	6.62	CBNPAS
ncRNA_inter_chr8_6986	Male	0.33	30.99	CBNPAS
ncRNA_inter_chr8_6988	Male	0.22	14.00	CBNPAS
ncRNA_inter_chr8_6990	Male	0.96	9.51	CB
ncRNA_inter_chr8_7423	Male	25.32	4.07	CB
ncRNA_inter_chr8_7430	Male	8.62	2.55	NUC
ncRNA_inter_chr8_7506	Male	0.55	69.79	CB
ncRNA_inter_chr8_7538	Male	4.31	4.10	CB
ncRNA_inter_chr8_7543	Male	0.50	70.33	CB
ncRNA_inter_chr8_7544	Male	1.28	9.29	CB
ncRNA_inter_chr9_7885	Male	0.58	20.98	CB
ncRNA_inter_chrX_15297	Male	23.08	6.05	CB
ncRNA_inter_chrX_15335	Male	2.38	4.22	NUC
ncRNA_inter_chrX_15430	Male	1.43	59.24	CBNPAS
ncRNA_inter_chrX_15431	Male	1.02	51.04	CBNPAS
ncRNA_inter_chrX_15435	Male	9.80	176.72	CB
ncRNA_inter_chrX_15437	Male	17.35	808.85	CB
ncRNA_inter_chrX_15439	Male	2.46	13.57	CB
ncRNA_inter_chrX_15449	Male	0.19	73.94	CB
ncRNA_inter_chrX_15450	Male	0.68	23.09	CBNPAS
ncRNA_inter_chrY_15552	Male	0.16	44.08	CBNPAS
ncRNA_inter_chrY_15553	Male	0.72	189.75	CB
ncRNA_intra_chr1_619	Male	3.04	17.91	CB
ncRNA_intra_chr1_621	Male	0.99	4.45	CB
ncRNA_intra_chr16_13383	Male	2369.34	10.99	CB
ncRNA_intra_chr8_7321	Male	0.89	18.80	CB
ncRNA_intra_chr8_7322	Male	1.40	5.63	NP
NOX4	Male	3.82	12.01	NP
NUDT7	Male	111.77	2.01	NUC
NUGGC	Male	0.92	6.57	NUC
OBP2A	Male	1.57	87.61	NUC
OLFM2	Male	1.49	5.17	NUC
OSBPL3	Male	1.47	4.86	CB
PAK6	Male	0.21	21.08	CYTO
PIK3AP1	Male	0.81	3.94	CB
PLD6	Male	1.52	3.51	CBNPAS
SAA4	Male	22.45	2.08	CBNPAS
SCARA5	Male	1.75	7.92	NP
SCARB1	Male	8.09	1.84	CBNPAS
SCP2	Male	794.91	2.89	NP
SEL1L3	Male	2.03	2.06	CBNPAS
SERPINA3J	Male	1.89	56.78	CB
SH3BGRL2	Male	17.32	2.78	NP
SIPA1L2	Male	0.95	2.75	CB
SLC15A5	Male	0.70	5.47	NUC
SLC22A28	Male	15.08	4.24	NP
SLC35E3	Male	2.26	2.35	CBNPAS
SLC7A2	Male	74.29	3.08	NP
SNHG11	Male	90.78	7.36	CB
SNHG3	Male	12.23	4.96	CBNPAS
SSTR2	Male	0.35	5.17	NUC
SUSD4	Male	6.03	9.54	CYTO
TDO2	Male	73.85	2.24	CBNPAS
TENC1	Male	15.07	2.24	CB
TFF3	Male	5.58	38.40	CYTO
TMC7	Male	1.37	4.13	NP
TMEM19	Male	2.59	2.26	CBNPAS
TSKU	Male	48.00	2.81	NUC
TTC39C	Male	93.99	4.25	NUC
TXNDC5	Male	17.92	1.91	CBNPAS
UGDH	Male	26.72	2.93	NP
UGT2B35	Male	71.94	2.76	NP
UGT2B36	Male	15.27	2.14	CBNPAS
UGT2B38	Male	8.28	10.75	NP
UGT2B5	Male	9.73	2.23	CBNPAS
USP2	Male	7.31	4.72	CB
UTY	Male	9.57	555.21	NP
WDR86	Male	1.44	13.49	CYTO
XLR3B	Male	0.87	11.27	CBNPAS
